"class","layer_name_en","layer_name_ua","geometry_type","attribute_name_en","attribute_name_ua","attribute_type","attribute_len","attribute_default_value","attribute_required","domain","num_tot","num_class","num_attb","row_code","attribute_is_id","attribute_unique"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","guid","GUID","text",," ","True",,108,6,1,"6.1","True","True"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","class","класифікаційний код","text",10," ","True",,109,6,2,"6.2","False","False"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","katotth","КАТОТТГ","text",20," ","True",,110,6,3,"6.3","False","False"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","koatuu","КОАТУУ","text",10," ","True",,111,6,4,"6.4","False","False"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","note","примітка","text",255," ","False",,112,6,5,"6.5","False","False"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","strategy","підрозділ Стратегії просторового розвитку території","text",255," ","False",,113,6,6,"6.6","False","False"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","plan","проєктне рішення Плану реалізації","text",255," ","False",,114,6,7,"6.7","False","False"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","label","підпис об'єкта","text",256," ","False",,115,6,8,"6.8","False","False"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","precise","точність відображeння","integer",,0,"True","precise",116,6,9,"6.9","False","False"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","source","джерело даних","text",255," ","True",,117,6,10,"6.10","False","False"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","region","регіон","integer",," ","True","region_list",119,6,12,"6.12","False","False"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","district","район","text",100," ","True",,120,6,13,"6.13","False","False"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","hromada","територіальна громада","text",255," ","True",,121,6,14,"6.14","False","False"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","settlem","населений пункт","text",100," ","True",,122,6,15,"6.15","False","False"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","st_type","тип вулиці","integer",,0,"True","street_type",123,6,16,"6.16","False","False"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","st_name","назва вулиці","text",255," ","True",,124,6,17,"6.17","False","False"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","build","номер будинку","text",10," ","True",,125,6,18,"6.18","False","False"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","block","корпус, квартира","text",10," ","False",,126,6,19,"6.19","False","False"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","nob_guid","код поіменованого об'єкту","text",," ","False",,127,6,20,"6.20","False","True"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","hob_name","назва поіменованого об'єкту","text",255," ","False",,128,6,21,"6.21","False","False"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","nob_lngh","відстань від поіменованого об'єкту, м","double",," ","False",,129,6,22,"6.22","False","False"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","nob_drct","напрям від поіменованого об'єкту","integer",," ","False","direction",130,6,23,"6.23","False","False"
"Planning_elements","address","Адреси","Point,MultiPoint,3DPoint,3DMultiPoint","addr_lab","повна адреса","text",255," ","True",,131,6,24,"6.24","False","False"
"Landuse","agro_landscape_groups","Агроландшафтні групи земель","Polygon, MultiPolygon, 3DPolygon, 3DMultiPolygon","guid","GUID","text",," ","True",,480,28,1,"28.1","True","True"
"Landuse","agro_landscape_groups","Агроландшафтні групи земель","Polygon, MultiPolygon, 3DPolygon, 3DMultiPolygon","class","класифікаційний код","text",10," ","True",,481,28,2,"28.2","False","False"
"Landuse","agro_landscape_groups","Агроландшафтні групи земель","Polygon, MultiPolygon, 3DPolygon, 3DMultiPolygon","katotth","КАТОТТГ","text",20," ","True",,482,28,3,"28.3","False","False"
"Landuse","agro_landscape_groups","Агроландшафтні групи земель","Polygon, MultiPolygon, 3DPolygon, 3DMultiPolygon","koatuu","КОАТУУ","text",10," ","True",,483,28,4,"28.4","False","False"
"Landuse","agro_landscape_groups","Агроландшафтні групи земель","Polygon, MultiPolygon, 3DPolygon, 3DMultiPolygon","note","примітка","text",255," ","False",,484,28,5,"28.5","False","False"
"Landuse","agro_landscape_groups","Агроландшафтні групи земель","Polygon, MultiPolygon, 3DPolygon, 3DMultiPolygon","strategy","підрозділ Стратегії просторового розвитку території","text",255," ","False",,485,28,6,"28.6","False","False"
"Landuse","agro_landscape_groups","Агроландшафтні групи земель","Polygon, MultiPolygon, 3DPolygon, 3DMultiPolygon","plan","проєктне рішення Плану реалізації","text",255," ","False",,486,28,7,"28.7","False","False"
"Landuse","agro_landscape_groups","Агроландшафтні групи земель","Polygon, MultiPolygon, 3DPolygon, 3DMultiPolygon","label","підпис об'єкта","text",256," ","False",,487,28,8,"28.8","False","False"
"Landuse","agro_landscape_groups","Агроландшафтні групи земель","Polygon, MultiPolygon, 3DPolygon, 3DMultiPolygon","precise","точність відображeння","integer",,0,"True","precise",488,28,9,"28.9","False","False"
"Landuse","agro_landscape_groups","Агроландшафтні групи земель","Polygon, MultiPolygon, 3DPolygon, 3DMultiPolygon","source","джерело даних","text",255," ","True",,489,28,10,"28.10","False","False"
"Landuse","agro_landscape_groups","Агроландшафтні групи земель","Polygon, MultiPolygon, 3DPolygon, 3DMultiPolygon","group","група","integer",," ","True","agro_landscape_group",491,28,12,"28.12","False","False"
"Landuse","agro_landscape_groups","Агроландшафтні групи земель","Polygon, MultiPolygon, 3DPolygon, 3DMultiPolygon","subgroup","підгрупа","integer",," ","False","agro_landscape_subgroup",492,28,13,"28.13","False","False"
